"ID","Module / Feature","Edge Case Title","Preconditions / Setup","Trigger / Test Input","Expected Result / System Behavior","Severity / Impact","Status / Resolution"
"EC-014","Squad Vault & Referrals","Self-Referral Attempt","User logged in with own referral code 'AXYR'","User pastes own referral code into referral input box","System detects match with user ID; shows warning 'You cannot use your own referral code'","Medium","Prevented via user ID validation"
"EC-015","Daily Stash Streak","Cross-Midnight Streak Claim (Timezone Shift)","User opens app at 11:59 PM IST on Day 4","User taps 'Claim Day 5' at 12:01 AM IST (Day 5)","Server validates UTC timestamp; correctly attributes claim to Day 5 without losing streak counter","High","Server-side UTC timestamp validation"
"EC-016","Daily Stash Streak","Missed Day Check-In (Streak Break)","User on 4-day streak misses Day 5 check-in","User logs in 48 hours later (Day 6)","Streak resets to Day 1 with option to use 1-time 'Streak Repair' via ₹10 gold stash purchase","Medium","Streak break & repair mechanism"
"EC-017","Daily Stash Streak","Double Claim Attempt on Reward","Low network latency on Day 5 claim","User taps 'Claim +35mg Gold' multiple times quickly","Optimistic UI updates count; backend deduplicates payload using daily streak transaction key","High","Deduplicated idempotency key"
"EC-018","Payment & Disbursement","Bank Node Timeout During Payout","Credit line approved, collateral locked","Payout API times out after 15 seconds during UPI bank transfer","Transaction enters 'Pending Rollback' state; collateral hold released within 30s; user notified with status banner","Critical","Atomic transaction rollback guard"
"EC-019","Payment & Disbursement","Bank Account Name Mismatch","PAN registered as 'Drashti G'","Payout requested to bank account registered under 'Rahul S'","Disbursement rejected by bank gateway; inline prompt asks user to select verified primary bank account matching PAN","High","Automated name matching check"
"EC-020","Payment & Disbursement","App Inactivation / Backgrounding during Payout","Loan disbursement modal open and processing","User switches to another app or locks phone","Background task completes payout securely; push notification sent with receipt; biometric authentication required on app resume","High","Secure background payload completion"
"EC-021","Network & Sync","Offline Mode Daily Stash Claim","Network disabled (airplane mode)","User taps 'Claim Daily Gold'","App displays offline banner; queues reward claim in Encrypted Local Storage (AsyncStorage); syncs automatically on reconnect","Medium","Handled by offline queue manager"
"EC-022","Network & Sync","WebSocket Ticker Disconnection","Live 24K Gold price ticker streaming","Wi-Fi drops while user views real-time gold price chart","Ticker falls back to last cached price with indicator 'Reconnecting live market data...'; polls HTTP endpoint every 10s","Medium","Auto-reconnect & HTTP fallback"
"EC-023","Network & Sync","App Termination During Stash Payload","User purchasing ₹500 gold","App force-closed / killed by OS during payment gateway callback","Payment gateway webhook reconciles transaction asynchronously; gold credited to vault on next app launch","High","Webhook reconciliation pipeline"
"EC-024","Build & Release","Android Release Signing Key Mismatch","Existing user has v0.0.1 installed with Debug key","User updates to v1.0.0 signed with production release.keystore","Android OS prevents APK overwriting with error INSTALL_FAILED_UPDATE_INCOMPATIBLE; requires uninstalling debug version first","High","Expected Android OS security behavior"
"EC-025","Build & Release","Gradle Download Network Timeout","CI/CD pipeline building release APK","Gradle wrapper download exceeds default 10s timeout","Resolved by configuring networkTimeout=600000 (10 minutes) in gradle-wrapper.properties","Medium","Resolved in gradle-wrapper config"
"EC-026","Build & Release","Proguard / R8 Minification Reflection Crash","Release build with minifyEnabled true","R8 obfuscates JSON data models used in React Native bridge","Proguard rules (proguard-rules.pro) preserve Keep annotations for React Native native modules and models","High","Handled in Proguard configuration"
